,product_name,product_review,rating
8788,3 Fonteinen J & J Oude Geuze Blauw,"This beer is freakin’ elegant!  Great carbonation and head retention - this beer is still going strong.  Intense aroma of Meyer lemons and funk, but the funk plays second fiddle to the pure fruit character.  Glorious.",4.9
8812,3 Fonteinen J & J Oude Geuze Blauw,Many thanks to Skyview for sharing!A spectacular sour funky nose on this one.  Gold with massive head.  Hay and horse crap in the best way possible.  Faint cheese in the incredibly sour body as well.  The yeast shot off one of these things must be incredible.,4.7
8735,3 Fonteinen J & J Oude Geuze Blauw,"A: The pour is orange/amber in color with a towering white head and a staggering level of carbonation.

S: Seems to be a bit more composed than the Roos. Lots of wet oak, hay, lemon, green apple, and grass. There’s a nice acidity to the nose along with plenty of ""green"" funk.

T: The lemon, green apple, and lactic acidity is more pronounced on the palate than the nose lets on. Plenty of must, oak, along with hay and grass. A definite funkiness that I would put under the ""barnyard"" umbrella.

M: The body is medium with a high level of carbonation and a bone dry finish.

D: Again, the better of the two (Roos and Blauw), but one that I wish I had a bit more frame of reference on (meaning, I wish I’d tried them when they were younger). Still, a really great gueuze.",4.0
8886,3 Fonteinen J & J Oude Geuze Blauw,"Bottle. Cloudy golden colour with a little head. Sour and acid aroma, also flavour of sourness and acidity. hard to drink much of this sour beer, but very tasty endeed.",3.1
8761,3 Fonteinen J & J Oude Geuze Blauw,"Bottled sample, consumed at De Heeren van Liedekercke. Tarnished gold in colour with very strong carbonation. Loads of leathery barnyard funk, sharp fragrant lemon, and earthy old wood on the nose. The funk and citrus dominate the palate with a spicy exotic wood note coming through on the finish. Delicate body, but full of flavour and acidic zip. A very special beer.",4.5
8624,3 Fonteinen J & J Oude Geuze Blauw,"Bottle @ Heeren Liederkerke. Pours a slight hazy orange amber beer with a big creamy white head on top. Aroma is great, grainy, hay, barnyard, cheese, dank cellar funk, codwebs. Flavor is very smooth and tart. Medium sour funk going on here, great dry, woody presences in there as well and an awesome balance. Acetate
Aftertaste is medium tart, dry finish. Great stuff.",4.3
8762,3 Fonteinen J & J Oude Geuze Blauw,"Drank next to the ’02 Vintage. Cork blasted off but there was only the smallest amount lost before pouring a rich gold body with large, unshakable fluffy white head. “Funk” is a vague word, but it best describes perhaps the most complex nose I’ve sniffed in a geuze, the first 6-7 swirls each giving a new element: mushroom, earth, leaves and grass, lemon, lime, leather. The flavor keeps this up, trading element after element in a funky earth way that never compromises yet never breaks from the balance. Like Mingus leading a 10-piece band, this is at once chaotic and sublime while simultaneously tight as all hell and brooding like sin. The massive funk rules out any easy fruit acidity or pale malt as havens to run for when expecting a traditional lambic. By my experience, this is geuze at its most hardcore and earthy. I could imagine studying this one for a lifetime, that is if I could get another bottle.",4.9
8695,3 Fonteinen J & J Oude Geuze Blauw,"75cl, as J&J Oude Gueuze (blue label), retired exclusive brew, from De Heeren van Liedekercke Denderleeuw, complex sour brew, sour/woody and slightly fruity, very balanced, cloudy, rocky head, very good brew, yet very expensive!",3.9
8868,3 Fonteinen J & J Oude Geuze Blauw,"2007 PP SAF Bottle brought by JohnC, many thanks! : Cloudy golden hue with a fluffy head and spotty lace. The aroma is wonderfully funky and herbal with sour apple and tangerine esters, catty and oaky vapours as well. The taste displays tart fruit, chewy yeast, earthy herbal pungent notes with woody and light spice finish. The mouth feel is sprite, lively and quite refreshing with a dry finish. A ROCKING BREW that is not overpowering like some other guezes. Surprisingly ""balanced"" and even Tomme dug it! Thanks again John!!",4.3
8623,3 Fonteinen J & J Oude Geuze Blauw,"Bottle at Ryan’s. Huge courtesy of Ryan! Damn Dad! Pours a light Amber body with huge thick creamy white head. Aroma is rich earthy yeast, aged goida cheese, sour fruit, old dust and basement. Incredibly subtle but nearly perfect; notes of aged cheese, sour fruit, tart character, dusty basement - essentially a perfect blend of gueuze. Incredible.",4.7
8871,3 Fonteinen J & J Oude Geuze Blauw,"PP Strong Ale Fest 07.  Bottle, 6-9-2003 from JohnC, thanks so much for this killer killer killer treat.  Pours orange with a gold 1 finger tan head.  Nose is subtle but incredible, sour, tart, and all around killer.  Taste is sour, tart and super complext, stays in the mouth, no intense throat burn here.  Likely best Gueze I’ve ever had, I’ll echo Mike (eyedrinkale) Fucking WOW.  John you rock!",4.7
8808,3 Fonteinen J & J Oude Geuze Blauw,"Bottle at De Heeren van Liedekercke. 75cl. Hazy unclear orange with a large fluffy white head. Dusty, brett, vague vinegar. Sour aroma. Soft and full bodied. A bit more rough/sour than the roze. Lively carbonation. Super dry, fruity, tart, refreshing and crisp. Lovely lambic. Re-rate: Bottle @ Too many geuze’s only one toilet, Ulfborg 2012.  Manuer, funk and barnyard. Super crisp and dry. Dammn. 4,3 - 4,4.",4.4
8619,3 Fonteinen J & J Oude Geuze Blauw,"Bottle shared at the Moeder Lambic cellar session 2015. provided by bart. thanks again! poured an beautiful hazy dark golden colour with a medium seized white head. the smell has a awesome blended mixture of citrus, lemon zest, funk, barnyard, wet wood, and some spiced yeast, wich could be from the girardin. it’s sounds so easy. but this was by far the best smelling lambic that has made it into my nose! taste has again that real citrussy character, with old dusty grains, wood, tart funk, some spiced peppery yeast. that typical ""horseblanket"" kind of feeling, just so so good blended and age to perfection. smooth as silk with a perfect acid sour finish. just the perfect geuze! so so lovely",4.8
8679,3 Fonteinen J & J Oude Geuze Blauw,"Bottle at Mikkeller Bar. My jaw totally dropped upon seeing the bottle. Hazy amber liquid with huge off-white head. Aroma is nicely funky and sour with notes of funk, apples, funk, wheat, funk, lemons, barnyard and sweat. Extremely well balanced with huge amounts of funk. Best lambic aroma I’ve ever experienced. Taste is dry and medium sour with notes of apples and lemons. Also very balanced and super drinkable even though it has a nice sourness. Medium bodied with high carbonation and really thirst quenching mouthfeel. This beer is just a perfect as a gueuze could be. Totally worth the hype, 100 times over.",4.9
8901,3 Fonteinen J & J Oude Geuze Blauw,"Birthday Beer #2. 750mL bottle split with artusory, courtesy of fonefan. Thanks, Jan!  Pours a hazy, effervescent orangish-golden color; sturdy off-white head with great retention and lacing that stays affixed to the sides of the glass.  Relaxed, oak-tinged sourness in the aroma; horseblanket and funk, with a chewy citrus presence holding things together; grapefruit and hints of vanilla.    Lively, champagne-like carbonation in a medium-to-full mouthfeel; not fizzy, but textured and very alive on the palate; excellent, mouthwatering acidity; citrus, toasty oak, and cobwebby funk; much lighter acidity and toned-down citrus presence compared to the Roze, and softer on the palate overall; generous, intense funk with a dense tangerine (thanks, Ryan) fruit character.  Just an amazing gueuze.  Lengthy, cobwebby and mildly tart fruit finish; slightly dusty.",4.6
8745,3 Fonteinen J & J Oude Geuze Blauw,"Sample (about 6 ounces) at De Heeren van Liedekerke for about 3 euro (yep!). Pours a cloudy copper color with a huge white head. The aroma is sour barrels, huge wood, yeast. The flavor is wonderful; a tart acidic attack is fought off by oak and dry yeast. Some fruity and somehow lots of all the flavors. Wonderful. A treat. A vibrant palate.",4.1
8845,3 Fonteinen J & J Oude Geuze Blauw,"Glorious.
Gold, maybe a hint of cloudiness.  Head is as dense as would be expected on a Heife - looks like it should be atop an ice cream float.  Nose is lemon, dusty green apple, mustyness I haven’t gotten from a geuze in a long time.  Flavor is a sublime combination of bitterness, acidity & sweetness.  Lemon pits, pepperiness.  Some malt that in no way invades on the acid.  Wood.  Probably the most drinkable geuze I’ve never had.",4.5
8795,3 Fonteinen J & J Oude Geuze Blauw,"Bottle@home. The bottle looks really great, the beer in the glass also. Starts complex-sourish with woody notes, not too intense. Strong, modest dry in the background. Sourish taste turns almost spicy in the finish. Very well balanced, great warming aftertaste. A masterpiece!",4.5
8847,3 Fonteinen J & J Oude Geuze Blauw,"Bottle thanks to mes, i havnt rated in a week i feel like a total amature here, however io am now sitting with the worst hangover ever(thanks to stone brewers getting me totally ruined on cask iipa) however this is rating 3000!!! I was soo taen back by this beer i didnt infact rate it by words. However it is possibly the most awsome gueuze ever only misses perfection by over carbonation.",4.9
8903,3 Fonteinen J & J Oude Geuze Blauw,"Bottled. Hazy orange colour, big creamy white head. Aroma is big sourness and earth along with some wooden hints. Flavour is very sour along with wooden hints. Big sourness in aftertaste. Really pleasant and lovely thing.",4.3
8772,3 Fonteinen J & J Oude Geuze Blauw,"Had a pour at 2010 DC tasting, thanks Brad!   Cloudy amber pour with a thin head.  Smells of sour, peppery yeast.  Tastes like herbs, grapefruit peel, is sour with light acidity and citrus finish.  Incredibly smooth.  By far the best Gueuze I’ve had, so complex and balanced.",4.6
8658,3 Fonteinen J & J Oude Geuze Blauw,"Bottle @ THE Sour and Saison Tasting. The pour’s deep, hazy gold with a massive white head. Lively indeed. The nose is sharp lemon peel, sweaty sock, dank basement and a bit of dusty cork. Very earthy, musty aromas. The taste is more musty dust and buggy wood. Some light sweet lactic lemon cake. Barnyard yeastiness, hints of meaty grapefruit and lemon pith. A bit of cheddar cheese. Soft, complex flavors. Wonderful, but the taste is a bit muted and lacks some of the vitality I was expecting. Smooth and very drinkable. Active carbonation on the palate. Overall, a very pleasant experience. This bottle felt like it was starting its decline. Still, very good.",4.1
8828,3 Fonteinen J & J Oude Geuze Blauw,"Bottle, bottled on 6 May 2003, enjoyed at De Heeren van Liedekercke. Pours cloudy amber with a surprisingly thick (for a geuze) yellow head. Intensively acidic and woody nose. Oak is noticeable among the lemony lambik aromas. Complex woody and lemony flavours. The wood stays all the way, blending perfectly with the lemons flavours. Acidic dryness that make you cry out for another glass. Medium body, good carbonation. Near perfection as expected when De Heeren van Liedekercke teams up with Drie Fonteinen.",4.6
8746,3 Fonteinen J & J Oude Geuze Blauw,"- The cork pops out loudly and we were are a little surprised by the bottle gushing. This beer is almost 7 years old and still has plenty of carbonation. Pours copper gold with a pillowy white head that leaves a web and decent lacing.

S - Blauw brings the funk, a soaking wet horse rolling on a blue cheese blanket in a barn. The citric aroma of lemon peel is there with a light oak.

T - A perfect balance is what describes the taste. Not as funky as the nose, nice lemon, oak, white grapes, with a tannic finish.

M/D - high carbonation, tannic dry finish, with decent acidity that does not wear on the palate. The only reason I stopped sipping on this beer was to enjoy the assortment of funky cheeses.

A beautiful blend of lambics that has easily stood up to 7 years, and my favorite gueuze to date.",4.8
8786,3 Fonteinen J & J Oude Geuze Blauw,"[Bottle] shared with tytoanderso with a HUGE thanks to yespr! Pours a hazy gold with a massive khaki head. Aroma has tons of barnyard and brett, loads of lactic acid, as it warms, tons of bitter grapefruit peel come forward. Really a rich and full aroma with a surprising amount of sweetness still evident. Flavor is quite tart and sour, but not nearly the most sour I’ve had. Somehow the beer manages to be dry and sweet at the same time. The flavor has lots of bitter grapefruit peel, various citric fruit rinds, funk, and lots of other citric juciness. Full mouthfeel and surprisingly smooth and creamy. The yeast pour doesn’t change the beer a whole lot other than to add a little more citrus to the nose and a little more creaminess to the mouthfeel. Very nice beer and I’m happy to be able to check this white whale off my list. Thanks again yespr!",4.3
8870,3 Fonteinen J & J Oude Geuze Blauw,"bottle and a huge thanks to the cheeseman for this:
pours a golden colour very lively white head and plenty of carbonation. aroam of intense sour a hint of alcohol type thing. very fresh and sour crabapples and some fresh granny smith apple. the only sweetness is very lite and honey like. flavour is equally intense sour, the crabapple fruit that seems very fresh also some fresh regularapple appears . finishes incredibly dry and pungent. yeah i love this beer!",4.5
8775,3 Fonteinen J & J Oude Geuze Blauw,"From notes. Hazy yellow/gold, small white head. Intense gueuze- barn funk, citrus like acids, more mild acetic notes, earth, subtle menthol, plenty of tartness. Medium body, sparkling, very dry. Awesome lambic.",4.5
8656,3 Fonteinen J & J Oude Geuze Blauw,"Bottle 750ml. [2003]. Thx David.
Pours hazy golden with high off-white head. Lots of lacing, lingering very long. Aroma is of barnyard, funk, acid, bretts, fruits. Taste is of barnyard, funk, bretts, sourness, acid, citrus. Palate: Nice texture, very fine. Somewhat ligth body, caressing the tongue. Overall: Very good beer. Well balanced, not too heavy on sourness nor acidity. Classy Geuze, all in finesse. Outstanding.",4.5
8717,3 Fonteinen J & J Oude Geuze Blauw,"Bottle thanks to maltomeal for his 1,000th rating-great choice! Hazy light gold with a white head.  Nose is super fragrant of lemons, fruitiness, and tartness. Taste is extremely complex, very earthy, with citrus and lemon. Hugely carbonated and just a bit sticky. Immensely complex and satisfying. Great beer.",4.4
8804,3 Fonteinen J & J Oude Geuze Blauw,"75cl bottle courtesy of ygtbsm94.   Hazy gold with a huge white head.   Huge aroma, with razor sharp cheese, dust, and biting acidity.   Hugely sour in a grapefruit juice way, almost crossing into peel-bitter character; sharp yoghurt acidity as well.   Medium-light bodied with ample, spritzy carbonation.   The aroma was almost to sharp, but the flavor and finish were amazing on this one.   A burly gueuze that I really enjoyed.",4.2
8688,3 Fonteinen J & J Oude Geuze Blauw,"750ml bottle shared at RBWG/ Nose is Sour sugar, sweetness, herbal, sourpatch kids candy...Taste is Funky tartness and sour, wet socks, tangy, white grape, faint wet wood...Palate is puckering, just how i like it..Wow",4.6
8896,3 Fonteinen J & J Oude Geuze Blauw,"Aroma/Malty-light,
Appearance Head/Initial-small, Head/Color white,
Body/Hue-medium,
Initial Flavor-sour,
Finish Flavor-sour,
Palate/Body-light to medium
Palate/texture-watery
not good beer",1.9
8646,3 Fonteinen J & J Oude Geuze Blauw,"The pour is golden orange with a thick white head. The nose is lemons, orange funk, leather, straw, berry. The taste is high sweet, low bitter, nice and tart. The texture is crisp and clean, body is light and finish is long. 

---Rated via Beer Buddy for iPhone",4.6
8617,3 Fonteinen J & J Oude Geuze Blauw,"Bottle (6-9-2003) at the DC Mini Tasting. Thanks Travlr! Hazy golden orange with off-white head. Aromas of funk, tart notes, light vinegar. Tastes of tart acidic notes, oak, wine, grapes, vinegar. Light body with a dry finish.",4.4
8724,3 Fonteinen J & J Oude Geuze Blauw,"Huge thanks to Maltomeal for opening this as his 1000th...and sharing amongst friends. Pours a cloudy golden with nice white, frothy head. Nose is incredible....lemon, citrus, sour, grass and flowers.  Flavor is clean, crisp, sour and absolutely wonderful. Some oak in the ending, which is fantastic. What a great bottle to share.",4.5
8791,3 Fonteinen J & J Oude Geuze Blauw,"Another stonking wedding gift from Mes, well done sir. Murky orange with a lively white head. Sorry to be crude but the aroma screams ladies front bum at me. A very nice one I mean. Perfect balance of tartness and sourness with a fruity citrus sweetness. A pleasure to drink.",4.1
8673,3 Fonteinen J & J Oude Geuze Blauw,"Thx! to Travlr // for bringing this one so generously // this is a special one // 75 cl. bottle sampled @ RBBSG 2012 // 2003 Vintage (only one ever made) // neat bibble story retelling @ back of the bottle // deep apricot peach coloured, hazy as can be with basically no head // smell is musty, deeply earthly, filled with mushrooms, like a  mushroom cellar or cave, never been to one but this brings one to mind, soft moss, hay, barnyard, close to extreme for even me // taste is loaded with mushrooms, hay, barnyard, fields outside in the countryside, earthly, peaches, incredibly fruity, funky my man, not overtly lovely sour, blended soft lemons, touch of bitter even, wood // so smooth, drinkable, hazy with substantial body for style liquid art // this is like Tarkovsky, Dante, El Greco, Ozu, Coil, Paradise Lost, Current 93, Pieta,... // incredibly different from what I expected & Lente // aged must have worked miracles on an already incredible beer here",4.9
8800,3 Fonteinen J & J Oude Geuze Blauw,Shared by Ygtbsm94.  Thanks Brad.  Smells like a good geuze should.  Definately more mellow than I was expecting based on the aroma.  Very balanced sourness and acidity.  Rerate:  I enjoyed this one more than I did the last time.  Perhaps it was the serving temperature?,4.0
8779,3 Fonteinen J & J Oude Geuze Blauw,"Hazy orange-yellow pour with a thin white head.  Woody grass aroma with lots of fruity sourness.  Very sour but incredibly nice and fruity citrus flavor.  Soft wood, grass, and funk.  Very bitter hop finish.",4.5
8852,3 Fonteinen J & J Oude Geuze Blauw,"Bottle, again shared by moejuck @ cbus X. Hazy orange pour with a short white head. Aroma of funk, sour fruits, light vinous notes and oak. Flavors of sour fruits, light vinous notes, oak. Medium/light body, sour/dry with a funky/sour/dry finish.",4.0
8690,3 Fonteinen J & J Oude Geuze Blauw,Soft acidity on the nose.  Very mild with hints of sweetness.  Pours slightly hazy gold with a dense white head.  Fruity acidity upfront with over-ripe fruit notes and slight acetic notes in the background.  Finishes very dry with a fruity tart end.  Awesome.,3.9
8846,3 Fonteinen J & J Oude Geuze Blauw,"(3/8/08) Bottle at De Heeren van Liedekercke in Denderleeuw. Cloudy orange with a big white head. Aroma with a lot of barnyard, wood, citrus and maybe a bit of sweat. Flavor is very dry, really sour, with some lemon and grapefruit and towards the finish also some bitterness. Medium-bodied with a lot of carbonation (even a bit too much carbonation for my taste) and some astringency. A great Geuze.",4.1
8765,3 Fonteinen J & J Oude Geuze Blauw,"Bottle at De Heeren Van Liedekercke.  Fabulous beer, fabulous food and a fabulous setting.  It really couldn’t get any better to have this brew at the venue it was brewed for.  Full of dust in the nose.  Dry and fruity.  The dryness and mustiness continues in the flavor, making one of the better gueuzes on the planet.  Everything you could ask for.  This sets the benchmark for gueuze.  Fantastic.",4.5
8858,3 Fonteinen J & J Oude Geuze Blauw,"bottle....did i just have a cable car and now we’re having a J&J blauw (sounds better as blou not blue!)!.  another thanks to drewbeerme for this one.....pours a slightly opaque orange brown with a hefty and considerable off-white head.....awesome nose of tart sour cherries, a nice assertive funky presence that really just blew me away.  i wish i could be more eloquent with my depiction of this but i just cannot be.....flavors of earthy funkiness with a much more withstanding and dominant sour tart sensation......i truly can’t get enough of this one.  fantastic!",4.5
8622,3 Fonteinen J & J Oude Geuze Blauw,"The bar in which I rate all gueuzes was set by this fantastic gueuze. I’ve never experienced a gueuze that had such a fascinating cider quality! 

This is the only whale gueuze that is worth searching for. You will not be disappointed.",5.0
8599,3 Fonteinen J & J Oude Geuze Blauw,"Bottle @ Ulfborg Semi White Whales Tasting 2019. Clear golden body with a large white head. Funk, citric, apples, smooth, stonefruits. Lovely.",4.4
8895,3 Fonteinen J & J Oude Geuze Blauw,"Bottle. Huge head with excellent duration. Color is hazy amber. Aroma and taste are malt, berries and lactose acid. Rerated @ fonefan tasting. Aroma and taste are brett, leather, stable, berries and malt. Nice and sour. Old rating 7/3/7/3/14. New rating. 9/3/10/4/19.",4.5
8921,3 Fonteinen J & J Oude Geuze Blauw,"Wow...what a surprise at the latest brew gathering.  Big hazy gold pour...big fluffh head.  Very bubbly look...big stanky nose, don’t get more horse-blankety than this one.  It’s been too long since I enjoyed that scent.   Big untamed smell, earthy, base notes.  Great sour fruitiness...oaky..yeasty...spicy..so much going on.  Great sourness toward the end.  Fizzy herbiness lingers to the end.  Great brew from a style that isn’t always at the top of my list.",3.8
8716,3 Fonteinen J & J Oude Geuze Blauw,"Had this bottle all to myself at de Heeren van Liedekercke. I nursed this one for quite a while. This was very drinkable, well-balanced. Tart and the funk matched well with some nice citrus notes.",4.1
8697,3 Fonteinen J & J Oude Geuze Blauw,"Aroma:citrus grape  Ud.:gylden  Skum: hvidt lidt  E.smag:sød lidt sur meget  Krop:medium For.: tør Brus:blød   
27/1-12 @f1 

24/6-16 
Smagt igen og stad gudedrik",4.5
8630,3 Fonteinen J & J Oude Geuze Blauw,"750 ml bottle shared by ygtbsm94. Thanks Brad! Pours a hazy orange with beautiful white spongy head that leaves a lacing on the glass as thick as the head was once it settled down. Aroma is citrus sourness, straw, hay and brett barnyard funk. Flavor is amazingly complex: perfectly balanced sourness with notes of citrus (grapefruit, lemons) and mild wood. One of the best sours I’ve ever had - everything about this beer is appealing. The mouthfeel, balance of flavors, carbonation, finish, all make this an outstanding beer.

From note 1/23/10 (Geist Dark Lord Tasting).",5.0
8785,3 Fonteinen J & J Oude Geuze Blauw,"By far the better of the two J&J IMO.  Gold pour with a nice big head.  Loads of wet earth, brett, white grapes, citrus, and some woody tones too.  Flavor is tart, prickly, earthy, funky, fruity, and purely delicious.  Damn nice.",4.5
8667,3 Fonteinen J & J Oude Geuze Blauw,"Bottle, 75cl corked. A rather oily pour leaves a lightly unclear, headless beer in my glass. Doesn’t look impressive in any way, but rustic and sort of sexy anyway. Lightly dusty on the nose, with some vinegar hints, overall more intense than the Roze, especially on the funky side. More lemon, more barnyard, but without the rubbery touch from the female of the two. Intensely tart and dry on the palate, with lemony, funky flavors lasting for a good while. Even though there was a slightly unpleasant rubbery note in the Roze, I prefer that one. Both are certainly good beers, but I also think they’re overrated, probably due to the rare-factor. Really pleased to have tasted them though. 111229",3.6
8884,3 Fonteinen J & J Oude Geuze Blauw,"(750ml bottle, 2003 vintage)  Pours a hazy golden body with a medium-sized foamy white head.  Strong aroma of barnyard, white grapes, lemon zest, grapefruit, vinegar, florals, subtle fish notes, light attic, and pineapple.  Flavor of white grapes, light apple, grapefruit peel, lemon, white pepper, and florals with a dry, lightly bitter finish.",4.3
8894,3 Fonteinen J & J Oude Geuze Blauw,"(Bottle 75 cl) Courtesy of yespr. Pours a cloudy golden with a bubbly and lively, off-white head. Distinct, sour Brett nose. Medium body, dry as a bone with sour - albeit not Cantillon-sour - Brett and vinegar notes. Lightly earthy edge and again with an extremely dry and sour finish. Rather complex. 280907",3.4
8613,3 Fonteinen J & J Oude Geuze Blauw,"Bottle @ Ulfborg gueze tasting. LIght cloudy dark golden pour with a frothy head that quickly disappears. Tons of pleasant funk, minerals, musty oak, leather, stone fruit, lemon zest and some lingering tartness. So balanced and good!",4.6
8687,3 Fonteinen J & J Oude Geuze Blauw,"pour was golden orange, nice fluffy white head. built up quick and just stuck there. nose was very interesting. along with the cheese and funk was a mild berry aspect. picked up very faint blueberry and lemon. nice old oak. stunning nose. very tart with the help of light lemon and sour berry. cheesy and funky with a strong old barnyard presence. a fair strong oak and musty flavor through the finish which helped the dry bitterness. fairly carbonated with strong bite. very dry and bitter. delicious, worthy, amazing. Reviewed on: 01-08-2012",4.1
8615,3 Fonteinen J & J Oude Geuze Blauw,"Bottle at Max & Jess’s for an impromptu barbecue thing when I was down for Comic Con.. Pours a lightly hazed amber with a touch of white lace at the edges. Big old funk, caramel, musk. Medium bodied, caramel, funk, barnyard and big dirty yeast. Long musk and barnyard funk into the finish. Very tasty.",3.9
8740,3 Fonteinen J & J Oude Geuze Blauw,"Courtesy cheeseman. Pours a hazy, orange color and topped by a thick, pillowy head of off white foam that slowly recedes and leaves thick rings of lacing around the glass. The aroma is really nice and funky showing notes of sour citrus fruit and acidity from the likes of orange, grapefruit, and lemons. The musty, horse blanket barnyard yeast lends a funky, spicy, earthy quality as well. The oak barrel imparts some vanilla that smooths out the citric acidity. The flavor follows with the intense sour citrus acidity with the lemons, grapefruits, and some soft peach pushing their way through. Some white grapes and tannins from the oak come next and seem to balance out the intense sourness. The funky, barnyard yeast really shines though and lends some earthiness to it all. The oaky vanilla adds a touch sweetness as well. Medium bodied, with perfect carbonation and a tart citrus finish. This is an amazingly complex beer, and an awesome lambic. Definitely a world class beer.",4.3
8732,3 Fonteinen J & J Oude Geuze Blauw,"Bouteille 75cl @ Heeren van Liederkercke.
Servi à température de la cave.
Couleur dorée/orange trouble avec un col blanc épais.
Arôme fruité sec/vert profond avec le parfait mélange de lambics. Garde ce coté que j’avais précédemment retrouvé chez Cantillon dans leur lambic.
En bouche, on retrouve cet aspect unique des lambics, de plus est pour celle-ci, avec 7 ans d’age. Garde un côté fruité avec une fine acidité. Reste sèche en bouche avec des notes de blé, raisins blanc et un palais qui laisse encore de nombreuses années à mûrir. 
Une très bonne lambic que je suis content d’avoir pu déguster en famille. Une bière qui est justifiée par son prix et s’apprécie pleinement dégustée sur place.",4.1
8670,3 Fonteinen J & J Oude Geuze Blauw,"Bottle generously shared by BenC...thanks Ben! - Pours hazy amber with a thin white head. Light lemon on the nose, a bit of earthy, cheesy funk, and real delicate tartness. Could smell this all week. Taste is real delicate and gentle, lots of citrus rind, lemon, light yogurt, touch of cheese, and a long, light citrus/sulphur finish. Really dry. Gentle carbonation with a fluffy, light body. Wow.",4.5
