Message,Date
"makes sense easy enough do. Passat back. friend wife's wanted Kona last year - incentives significant specific lease, helped get lease done bought within month two. Lease incentives V90 XC similar Stinger deal, point got nearly $20k MSRP. Kia, money factor equates interest rate around 5%, I've considered buying lease reduce interest expense. may still it, average rates around 3.5%, actually save lot money, lose risk reduction lease.",February 2020
"Ha! Funny, calculation following: think might win argument Court beef Dealership, Kia Finance (though nothing guaranteed). calculation I'm suing anyone less 4 figures, $350 falls threshold take Dealership small claims court. calculation Kia Finance collectors sue less 4 figures either, $350 fall threshold. agree hate other, suing. suing, I'll sue. Let games begin, I'll let throw first punch.",February 2020
"sue. turn collection agency, who's primary mission life make life miserable chump change.",February 2020
"And, affect credit rating",February 2020
"suppose credit score keepers pocket banks...... least there, system place dispute inaccuracies. probably thank Democrats Consumer protection. One good things done, HARP 2.0. (though CASH4CLUNKERS bailouts abomination).",February 2020
"I'm beginning see experience first hand. Though think stop sending ""cease desist"" letter. We'll see.",February 2020
"Entry-level luxury sales US first three months 2020.... Smaller sedans: ILX 2,741 A3 2,237 2series 1,772 Regal 1,202 CT4 41 Midsize sedans 3series 10,613 ES 9,247 Q50 5,757 TLX 5,484 A4 3,949 MKZ 3,482 CT5 3,000 2,712 S60 2,635 G70 2,074 Giulia 1,759",April 2020
Where's Tesla Model 3?,April 2020
category. think sells much almost combined.,April 2020
"Jaguar....oh, never mind...",April 2020
"entry-level luxury cars might interested Audi A3 A4, BMW 3-series, Mercedes A-class, new Acura TLX new ILX replacement, Volvo S60.",July 2020
would take those. Really interested seeing new baby Acura.,July 2020
There's speculation ILX name might retired. new car might possibly bring back RSX name.,July 2020
"bring back Integra, RSX good 2nd choice. maybe even hatch it. would nice!",July 2020
"Yes, I'd like see Acura bring back hatchback. also speculated, there's room Acura lineup X1-size small suv. guess we'll get something like couple years, leaks we've gotten far look like happening calendar year 2021.",July 2020
"@explorerx4 : like Lincoln MKZ? may seen, friend mine got 2018 MKZ far loves it.",May 2021
It’s nice car. updated instead eliminating it.,May 2021
leather definitely Audi-like Jetta-like.,August 2019
"made next car list. Looks much like A5 Sportsback. Wonder 4motion AWD exactly tech Audi’s quattro, different. That’s often really hard find out, unless browse Audi/VW geek sites even need careful believe. Even package isn’t quite Audi, looks like 10 grand less, give take like configurations, especially upper trim (mid 40s vs mid 50s), seems fair tradeoff delivers essentials. VW 6-year btb warranty, probably win trust back scandals, definitely helps, long make good it.",August 2019
6/72 warranty 2019 model year.,August 2019
"mean 2019 last year? That’s bummer. Wonder come after. Standard 3/36? far word website, probably 2020 models yet.",August 2019
"4 yr/50k, Audi. read dealers said selling extended warranty became difficult long coverage, hitting profit potential.",August 2019
"dealers profit margins, like disappearing maintenance programs. guess people need get paid, knew .",August 2019
Looks like lease best bet WV/Audi. Cost cutting support past sins might delay quality improvements.,August 2019
"really see cost cutting. However, seem rental fodder model trim line, SE used loaded, sort base model replacing used be, SEL loaded tarted model, still every bell whistle, either SEL R-Line SEL Premium line. wife got Tiguan SEL 4-Motion, pretty darn good loaded. I'd say overpriced, giant discount able negotiate. based ""Costco"" deal, super aggressive, happy matched. dealerships ""match it"" claimed probably ""catches"" it. listen (waste time) finance guy sales spiel trying sell warranty 6 year 72K bumper bumper warranted car, really ""catches"" all.",August 2019
"nice. Kia finally went back? Tiguan ""to look at"" list. really nice get wife consider VW though!",August 2019
"nd nice! Digital HD cluster gauges SEL trim. get that, never go back. Pano roof. nice leatherette, especially interior gray color. got Stone Blue (sort grayish bluish hint green) gray interior, nice combo. first choice ice silver like super light almost white nardo gray, seems discontinued color. One salesman suggested Audi wanted color. 8 speed auto, 2.0T motor tuned 87 octane. Lots room vertically length-wise. Good looking well-designed SUV! 6-year 72K mile bumper bumper warranty almost guaranteed used come handy, even Honda, isn't! also TRANSFERABLE warranty gimmick like Hyundai/Kia warranty good first owner. say Alltrack problem free 31K miles. Wife says got 4-motion felt drove better 2-wd model tested back back. Says AWD felt lighter/peppier, probably due better acceleration, even dry. Something feel AWD, said reminded Alltrack drive, good thing.",August 2019
still Kia.... 4 cars way much though. Need schedule return. under-miles promised drive least twice week work (tomorrow thurs.). Probably return weekend. Due date Sept. 3rd.,August 2019
"well, Hyundai BtoB transferable 5/60. one year different. 2020 VW ditched 6/72 anyway.",August 2019
Lots 2019's left right though.,August 2019
go see offer lease!,August 2019
"stickguy: end retrofitting TLX would spare? far problems tires. renew AAA membership recently, even though Acura tow service included car.",February 2020
Lazarus moment. board coming back life six months. Perhaps others well. Perhaps not.,February 2020
"add spare got car. tire kit dealer installed accessory. Probably waste money, say, worry stuff like this! Pretty sure could take end lease wouldn’t notice didn’t keep foam filler parts I’m likely bother.",February 2020
"person video calculates 10 years mid-level Camry msrp c. $28k ownership costs $54k, lowest cost Tesla Model 3 10 years cost $52k. basic argument makes sense long run financially get Tesla. Maybe. one thing taken account good discount msrp achieved Camry, contrast Tesla think always sells full msrp. right erases difference. really looking lowest ownership costs ten years, guess Camry hybrid, Accord hybrid, Sonata hybrid beat Model 3 significant margin ten years. Hmmm. Tesla 3 still awesome appealing vehicle, highway range 250 miles, Acura TLX highway range 550 miles using EPA rating, since often get c. 3-4 mpg epa rating real world, actual highway range 600. true Tesla goes 0-60 lot faster. https://www.youtube.com/watch?v=6sOjXCQVSKA",February 2020
66% RV 5 years model 3? 40% 10 yrs? HAHAHAHAHA,February 2020
"really enjoy precision wheel steering TLX. me, one feature alone worth least grand, actually standard. far know, 4-wheel steering available car costing less maybe $70,000 so, although I'm sure cars available 4WS even price. four wheel steering available $90k Porsche Panamera, option costs extra $1600.... https://www.porsche.com/usa/modelstart/all/",February 2020
car 4 wheel steering? probably known that. nice handling.,February 2020
https://www.acura.com/performance/modals/precision-all-wheel-steer There's little video click here.... https://www.acura.com/tlx/features#power-handling,February 2020
"Here's article vehicles 4 wheel steering available, includes high end sports cars, Audi A6, A7, A8. usually option costs bit extra. https://www.autoguide.com/auto-news/2018/11/what-vehicles-have-rear-wheel-steering-.html although buried deluge sorts info TLX, section Acura's 4-wheel steering TLX press kit 2018.... https://acuranews.com/en-US/releases/release-4ab1e0fb10674d7791526ba08c42d93f-2018-acura-tlx-overview",February 2020
"ALG apparently puts RV model 3 5 years 31%. 31% almost certainly low, 66% seems high. case, 10 years RV model 3 maybe going 30%, means calculation another $4000 saying Tesla model 3 cheap long run Camry. Also missing calculation cost Tesla home charger, costs $500, maybe additional $500 install. that's another $1k calculation off. bottom line model 3, rather around $2k less expansive Camry 10 years, probably closer $6k expensive. But, compared Tesla Mercedes A220 BMW 3-series, seems like Tesla might come top terms 10 year costs.",February 2020
"wonder took account tax credits? another wildcard. one thing 10 year comparison. Tesla basically PC. 10 years, batteries may may work, car could date upgrade-able. least know Camry perfectly fine keep driving!",February 2020
"Tesla apparently used tax credits, longer available: https://insideevs.com/news/390520/today-federal-tax-credit-tesla-gone/ Tesla claims, however, battery Model 3 designed last least 300,000 miles regular use, years might well 500,000: https://twitter.com/elonmusk/status/1117099861273219073 https://www.wired.com/story/tesla-may-soon-have-a-battery-that-can-last-a-million-miles/ Tesla Model 3 point gets ""free"" software updates web: https://www.tesla.com/support/software-updates current model 3 motor designed last perhaps long 1 million miles: https://electrek.co/2018/10/15/tesla-drive-after-million-miles-test/ https://twitter.com/tesla/status/1051911793373638661",February 2020
It’s horror stories I’ve read owners cars warranty needing collision parts can’t get long wait could big negative compared owning Camry main stream vehicle.,February 2020
"Agree. city Louisville million people, yet Tesla service center here. service Tesla owners guess go Cincinnati Indianapolis? https://www.tesla.com/findus/list/services/United States",February 2020
"Agreed, Tesla must realized much $$$$ replacement parts due bad drivers there. Probably little after-market supporting far too.",February 2020
software updates (or lack same) could easily render car useless.,February 2020
"I'm still giving hard look Stinger GTS. Normally would beat stick consider AWD car, GTS D-AWD system allows driver select default F/R torque split way sending 100% power rear axle, also fitted mechanical LSD- feature rarely found AWD cars. real gripe GTS faster 2er. hoping get something legitimately quicker- running quarter mid low twelves.",February 2020
remembering correctly KIA Stinger build basic platform Genesis G70? also hear Stinger lease incentives $10k? Sounds like amazing deal impressive car.... https://www.youtube.com/watch?v=38nDEvihRUk,February 2020
"Yeah, I’ve got house full LED lightbulbs supposed last 10 yrs, yet change every 2, I’m lucky.",February 2020
"Yes, shares platform G70. Stinger bit bigger G70 think looks much interesting. current lease incentive $10k- least 2019 models. one Stinger forum thread devoted process leasing car buying lease.",February 2020
"10k lease incentive dealer discount possible get c. $45,000 Stinger close 30k? https://www.kia.com/us/en/stinger since base Stinger starts c. 35k, would possible get model low c. 25k?",February 2020
Stinger I'm looking $48k- I'm shooting $36k-$37k.,February 2020
"comes entry-level luxury vehicles, list prices often deceptive. instance Audi A4 starting msrp c.$38k, far tell models ever built sold. least expensive A4 local Audi dealer msrp c. $45k. example KIA Stinger, seems like impressive car, equal something BMW Mercedes offered something like that, msrp thousands less. huge lease incentives msrp Singer deceptive side. might think msrp $45k loaded Stinger reach, since actually c. $10k less becomes quite good deal.",February 2020
"Alex Autos likes 44 mpg Lexus 300h, gets highest mpg luxury car plug-in. Probably happen, I'd like see Acura come faster competitor model next generation TLX. https://www.youtube.com/watch?v=MhLG6r5bp0k&amp;t=1272s",February 2020
Cause faster something everybody desperately needs. Without lost...,February 2020
"local dealers several $39.5K-40.5K A4s stock (within 50 miles), possible get one really want (I wouldn't). upscale German brands equipment levels mostly decision local dealer's inventory manager (within model allotments) view market. I've following BMW's inventory local dealers every often can't different other. example, one dealer may majority strippers ready low-end leases, another may mostly fully loaded stuff 20 grand more. may say order ""what sells"", nobody convince markets 20 miles apart different sell white cars black cars there. guys think sells personally think looks nice fits. taste ""feel"". sell long hit target, confirmation bias tell made correct decisions. don't, they'll blame slowdown, four seasons, drought, snow, rain, wrong Moon phase current president United States. think science all. Kia's MSRPs pure fantasies drawn accountants beginning model, later brought reality, like domestic manufacturer's.",February 2020
"That’s plus (or minus, depending perspective) traditional Asian packaging model. Like Acura. trim levels (option packages), spec one dealer exactly like one next dealer. everything standard. case, base/tech/advanced, get lease special strippo, well equipped model, almost silly level gizmos. Plus sport trim.",February 2020
"like long standard equipment short comprehensive packaging approach Acura (Lexus Infiniti much elaborate). beef model lineup short (no hatchbacks, wagons, ""special"" type vehicle) color combinations limited comparison Germans. playing safe, whereas Germans willing take chances, make special models individuals ""off-beat"" tastes, pare back necessary. seen Acura taking real chances model lineup, Lexus made efforts high end performance range, generally bit oriented average buyer segment. Basically cookie cutter. well made, well appointed, cookie cutter nevertheless.",February 2020
"generally like Toyota trucks SUVs, Toyota/Lexus car would seriously consider Supra.",February 2020
Toyota/Lexus car would seriously consider Supra Well makes sense mostly BMW anyway,February 2020
"say? goes back to-as call it- ""misspent street racing youth.""",February 2020
also like 86- wish abou 100 hp.,February 2020
"BTW, looked incentives Stinger. 9.5 grand, take specific lease captive program (24 month highest rebate) plus 1.5K conquest whatever else may come, still great deal, considering residual likely inflated vs. real value. That's insane. think overproduced big time, especially ""GT+"" models.",February 2020
"$12,200 lease cash 24 months GT2 AWD. 6 trim levels lease cash $10K 24 month terms. Many, many people ""leasing"", immediately buying lease.",February 2020
That's jaw-dropping lease incentive. Amazing deal.,February 2020
wow,February 2020
"drive TLX already. Even FWD handles nicely, feel overly FWDish. driven TLX AWD, driven SH-AWD models, nice.",August 2019
"I'm going to. easy since buddy work one. One day go lunch, I'll ask flip keys.",August 2019
"Since teenager one dream cars BMW 3-series. new generation car seems like really good, prices climbed steadily years least expensive 2019 BMW 3-series BMW Louisville msrp $47,000.... https://www.louisvillebmw.com/new-Jefferson+County-2019-BMW-3+Series-Base-WBA5R7C57KFH22142 That's lot money.",August 2019
"boat. almost bought 5 series 2001 backed due cost ($38K purchase price even back then). though 3 series big, better equipped, get loaner, price! maybe someday, ship probably sailed. Plus likely looking X3 point, even cha-ching.",August 2019
"realize right 3-series today big 5-series couple decades ago, making seem like better deal. entry-level 3-series BMW website without options white black starts $42k so, real world think ever find like that. longer make de-powered 320i, feel mixed about, even entry level 330i performance V-6 TLX. since need much power....",August 2019
2001 5-Series: 184/225 HP 2019 3-Series: 248 HP,August 2019
"Everything HP now. Size wise, point.",August 2019
"5-series 1995 2003 length c. 188 inches, 2019 3-series 185.7 inches long. Close! current Acura TLX 190.7. current 5-series 194.6.",August 2019
think cars also got lot wider recent years. garage door opening didn’t.,August 2019
Edmunds seems like driving Tesla Model 3 little bit BMW 3-series.... https://www.youtube.com/watch?v=xpFe8k1vjcg&amp;t=303s,August 2019
"review 26,000 miles ownership Tesla Model 3 says compared similar gas car he's saved $2000 using electricity instead gasoline. Telsa Model 3 options is, says, $50,000 car can't get discounts. big discounts lease incentives paid close $30,000 luxurious TLX. $20,000 difference there's way even 2k fuel savings year come ahead. drive 26k miles year, like 14k. fuel savings would maybe like $1200. Plus guess time gets 100,000 miles, keeps Model 3 long, might need replace batteries, might c. $10,000 repair, maintenance good luck engine transmission TLX might go past 200k without major repairs. TLX environmental costs, getting rid trying recycle huge number Tesla batteries. bottom line costs long-term ownership still favors TLX big big margin far see. see appeal, math seem add unless well costs really significant factor.... https://www.youtube.com/watch?v=g6r5SRM2H3A PS Finally, expensive extended range version Model 3 go 300 miles needs recharge, TLX 2.4 go twice highway.",August 2019
"can’t get past range anxiety. practicality factor purposes make work me. IMHO, styling meh.",August 2019
"extended range Model 3 go c.300 miles, sort-of ok. empty even Supercharger takes hour get close full recharge—compared fill-up ICE car gas station takes ten minutes. road trips think want stop long Supercharger station strip mall whatever. actually really like styling Tesla vehicles.",August 2019
"According new study, 5-year total cost ownership base Tesla Model 3 less Toyota Camry LE.... https://loupventures.com/tesla-model-3-cost-of-ownership-slightly-cheaper-than-a-camry/ https://www.youtube.com/watch?v=gztjB5LeCJg",August 2019
"According video, Tesla Model 3 might safest passenger car America.... https://www.youtube.com/watch?v=bkayYiwrjyQ",August 2019
"posted another discussion... Club Sport dealer annual service, service advisor gave M340i xDrive loaner. First impressions: It’s maybe tick faster 2 Series, xDrive filters fun much tastes. scared friend quite bit accelerating corner flat thought going lift brake. like interior lot- including glass cockpit. like latest generation iDrive, it’s considerably different I’m used to. voice recognition works quickly accurately. base sound system surprisingly good. I’d still want audition H-K upgrade, standard system slouch. It’s still big tastes, car masks bulk impressive degree. M240i M340i cockpit, 382 hp motor, Sport diff would perfect me.",August 2019
"looks like annual sales Tesla Model 3 2019 might exceed 200,000, outselling ELL cars huge margin. https://cleantechnica.com/2019/08/10/tesla-model-3-outsold-bmw-mercedes-audi-lexus-competitors-in-2nd-quarter-in-usa-by-a-landslide/",August 2019
"@benjaminh, sounds like next car?",August 2019
still 2 years left lease Acura TLX. maybe that? Probably not. I'm likely buy TLX 18.5k point. Tesla Model 3 seem like really good car. watching videos doubts slowly falling away. big thing wonder happens batteries ten years....,August 2019
"battery warranty Tesla seems pretty good.... ""Model 3 - 8 years 100,000 miles, whichever comes first, minimum 70% retention Battery capacity warranty period."" https://www.tesla.com/support/vehicle-warranty And.... ""Model 3 Long-Range Battery - 8 years 120,000 miles, whichever comes first, minimum 70% retention Battery capacity warranty period."" still seems like means somewhere around ten years Tesla expects batteries wear out. point car warranty loses resale value. ten year old Acura good shape, hand, might still ten years life without major repairs.",August 2019
"think so. much likely US sales revert closer Q1 numbers maintain Q2 numbers. Anybody, read Tesla actually get Q2 numbers would know lot one-time moves, like Q4 last year. think much likely number missing 200k target small margin. Much interesting many new EV buyers left current market. wanted one, got (most anyway) pray it, that's fancy. people like - money, COULD buy even current prices, wanted to. aspects vehicles like respect, I'm even considering point. One reason I'm completely convinced Tesla around five years, precise, think probability complete failure company significantly higher zero (in mathematical terms ""non-trivial""). can't ignore calculus. That's top lack energy portability that's offered gasoline engine. could well second vehicle house, simply space two vehicles.",August 2019
Tesla seemingly edge financially. guess going pull major player growing electric car market years come. we'll see....,August 2019
"https://loupventures.com/tesla-model-3-cost-of-ownership-slightly-cheaper-than-a-camry/ ""Average all-in cost per mile Model 3 $0.46, compared Camry LE $0.49, Audi A5 $0.80."" study claims show Tesla Model 3 costs less 5 years Toyota Camry, shocking. agree numbers used. instance, says maintenance repairs Camry 5 years $4000, guess would half (10 oil changes x $50 =$500 + 4 tires c.$1000 + 500 additional would estimate). Tesla model c. $39k discounts possible, Camry c.$25k might get $4000 msrp, indicate. feel like study $6000 favor Tesla. Finally, although Tesla battery 8 years/100,000 mile warranty, I'm wondering Tesla 10 years 150,000 miles new $8000 battery likely needed. Still, bottom line economics may possibly shifting toward electrics, specifically Tesla. There's doubt Tesla cheaper 5 years comparison, Audi A5. Elon Musk says starting next year design life battery Model 3 double: https://electrek.co/2019/04/23/tesla-battery-million-miles-elon-musk/ pans out, means year two batteries Teslas Model 3 able last maybe much 500,000 miles. electric motors Tesla already likely last least 500,000 miles, well-designed electric motors inherently longer lasting internal combustion engines. Plus oil changes etc. high-mileage drivers Tesla might become top choice, cost per mile driven would almost certainly quite low. I've gone Tesla skeptic someone thinks might something this.",August 2019
"According Elon Musk.... ""Model 3 drive unit & body designed like commercial truck million mile life. Current battery modules last 300k 500k miles (1500 cycles). Replacing modules (not pack) cost $5k $7k."" https://electrek.co/2019/04/13/tesla-model-3-longevity-claims-elon-musk/",August 2019
"still limits full electric would prevent getting one. Unless really cheap (as opposed really expensive, are), truly needed 2nd car pure local duty. problem is, expensive, afford one car high price range, one take trips. So, train ain't meeting one! way taking one say Christmas eve trip 10 PM across boondocks NYS, usually crappy weather, trying find charging station area would really prefer stop in! get charge sit 2 hours does. even worse can't afford say leaf Bolt. suitable family truckster travel car anyway.",August 2019
"discounts two us got TLXs c. $30k, cars c.450 mile range per tank mixed driving. ""long-range"" Tesla Model 3 range c.300 miles, costs $48k discounts. keep them, TLXs able last good maintenance bit luck well 200,000 miles. interior luxury TLX looks like beyond Model 3. long-range $48k Tesla seems price range. 10 years 150,000 miles might less per mile driven even TLX 2.4. three years lease think way ahead. guess 5 years ahead too. terms range anxiety, there's video makes sense says gas engines produce much range anxiety Tesla. argument basically day charge Tesla home and/or work maybe 250 miles charge, never stop even Supercharge station, never range anxiety normal driving commuting shopping around town. gas engine, however, think filling run gas. trip Tesla range anxiety, that's minimized Tesla Supercharger network. included Tesla trip software calculates trip guides exactly recommended Supercharger based car's range. long trip Tesla slower c. 45 minute charging times, since often need stop meal little sight-seeing every 250 miles anyway, much slowdown might expect.... https://www.youtube.com/watch?v=Zvb7gV0GRNE&amp;t=544s still love Acura. I'm beginning hope time get next car Acura buy Tesla's tech also buy access Supercharger network. Elon Musk apparently said quite ago he'd ok selling another car maker access Supercharger network, far one taken it.",August 2019
"well, buying logic! driving around local means gassing week 2. stations everywhere, getting low swing one, 5 minutes later gassed way. usage, EV would concern me. really travelling it. normally stop much. gas going 400+ miles (well, car, 300 RDX!), otherwise quick pit stop bathroom stretch, eating quick food place. driving rural areas weird times, do, really going comfortable EV. Kind moot point anyway us, can't afford EV equivalent car would like one nice set wheels!",August 2019
"think agree points now. Elon's predictions pan out, 2 years (when lease up) might able get Model 3 400 mile range, charges half time current models (in words, takes 20 minutes go 20% charge 80%), lasts rest life—even drive country multiple times—with minimal maintenance gas. since I'm already 54, think Acura TLX could well last till I'm 70—if make age.",August 2019
Preview next-generation Acura TLX Type Kelley Blue Book. Guesses next-gen TLX arrive 2021 model sometime next summer. think looks good. https://www.youtube.com/watch?v=XAfjIt33ilI,August 2019
"know forced find another job firm worked 2.5 years closed location Charlotte moved positions home office MA. new job requires work downtown, 6 blocks wife. already paying $$$ park commuting together. far good certainly change driving separately listening radio stations, etc. rate don’t see replacing Accord anytime soon driven weekends occasional day need drive separately.",August 2019
"opposite. nearly 10 years commuting together wife separate. feels weird, rock 80s 8 Hair Nation listens Pitbull radio lol",August 2019
"obviously must many good qualities one tendency might grounds divorce!! XM, 80s 8 main choice, though repetition got tiresome while.",August 2019
"Ha Ha... stations get little repetitive, bounce around lot try avoid that.",August 2019
"That’s problem oldies genre station. aren’t making new songs catalogue old ones isn’t big. branch out, listen new music!",August 2019
"shortage music era. problem stations OTA satellite maintain limited playlists based criteria believe keep majority listeners happy. several thousand tunes preferred era choose keep hundreds USB use car. Mix every often, dropping ones get tired adding others, create new playlists do. ever listen radio now. desire seek new music leaves cold. affliction age.",August 2019
"sometimes listen Sirius XMU ch. 35, 21st century song heard recently liked. band Broken Bells, song called High Road.... https://www.youtube.com/watch?v=ewYujUMqDQI Back topic, here's Acura's new video new 2021 TLX Type concept: https://www.youtube.com/watch?v=Wmyw7oxIIJc",August 2019
"know Scotty Kilmer controversial, pov thinks newer BMW's long-term reliability issues. says increased used plastics engine parts one problems.... https://www.youtube.com/watch?v=eS9duddPqUI",August 2019
Scotty Kilmer likes Lexus.... https://www.youtube.com/watch?v=RI6r22ctge8,August 2019
"bmw, good point plastic parts engine.",August 2019
"Acura lease 23 months point buy car $18,500. Would make economic sense try get $40k Tesla Model 3 instead? seem like it, unless I'm missing something. Although TLX cost c. $1500 year gas maintenance compared Model 3, even ten years come close erasing nearly $22k difference. If, however, July 2021 Acura electric car msrp maybe $38k might make sense. First, guess unlike Tesla goes full msrp might get discount electric Acura. get federal tax credit $7500 already almost expired Tesla. two things might make sense go electric—if Acura Honda. end keeping TLX would fine me, far love driving it.",August 2019
"Scotty Kilmer dislikes working Minis says junk. (In fact, dislikes much language becomes somewhat insensitive.) https://www.youtube.com/watch?v=Lp0LdnreYmE",August 2019
need special “thumbs Scotty” button. ;b,August 2019
+1,August 2019
"TPTB figure software sometimes goes strike images maybe get started muting functions. would support ""Mute Scotty"" button.",August 2019
complete moron.,August 2019
"positive review MB A220, but....""That stubby trunk lid betrays tiny cargo space, sadly – 8.6 narrow cubic feet space back there...."" https://forums.edmunds.com/discussion/2864/general/x/entry-level-luxury-performance-sedans#latest",August 2019
Luxury VW Arteon hatchback sedan.... https://www.youtube.com/watch?v=_-LJGn24VP8,August 2019
Telsa Model 3 features.... https://www.youtube.com/watch?v=YHqlSQplIVk,August 2019
"cousin family returned US living abroad years meant purchase cars. wife got Model 3, Dual Motor absolutely loves it. I've opportunity drive couple times definitely enjoy it. I've told @Michaell @breld, want electric car brainer. However, looking spend $40 - $50k vehicle definitely find something like better.",August 2019
Nash seats! There's nothing new sun...,August 2019
"think people people day car, paddle shifters bit silly.",April 2019
"Outback paddles CVT. I've probably used handful times, mainly play around them. But, CO, nice use downshift slippery roads going downhill want avoid brakes.",April 2019
"are, fun diversion sometimes. I've played ATS makes sense use normal driving. suppose tracked it, would different story.",April 2019
Buuuuttt... said manual transmission. difference FORCED bit silly manual.,April 2019
"mention one thing like -- Ford, pickups (don't know cars?) ""gear indicator"" dash. 6 10 speed automatic transmissions, interesting see gear computer picked circumstances, far drops lower hammer. really matter, matters well vehicle responds, still find interesting.",April 2019
"Paddles. Get new car paddles.. play around first week. Then, never touch again. (my experience)",April 2019
do. try twice. Still need figure TLX. sure switch manual mode.,April 2019
"Outback touch gear lever. paddle downshift, while, computer figures return car",April 2019
far that’s done it. maybe that’s does!,April 2019
"Outback manual slot gear lever, complete control transmission.",April 2019
don’t think TLX even that. dig manual look up.,April 2019
"shifter gate side, manually paddle thing, shift lever?",April 2019
"like dig manual Outback figure set memory seats, since wife sharing soon.",April 2019
Nope. Unless hid it!,April 2019
"""Sport"" mode? that, usually makes paddles behave differently.",April 2019
There’s sort drive mode selector. don’t bother it.,April 2019
"cars I've had, Sport, hold gear, revert drive. Although different vehicles different methods handle ""out range"" issues. Older cars would bounce rev limiter, holding gear, others would automatically upshift red-line. Almost act like regular automatic, go slow gear.",April 2019
Putting TLX Sport+ mode requires use paddles. personally used handful times. driving around town see point.,April 2019
"Exactly. sure 20th-century paddles guys complaining find shifting paddles auto-manual way fun right there, hands i'm twisting around twists.",April 2019
"3 years paddle-car, still paddling... haha",April 2019
"Used time 135, CTS, Stelvio. Almost never 330. type driving guess. I’m fuel economy lately.",April 2019
"If' paddle shifters shift immediately, I'd throw car cliff. Thankfully, buy CVT paddle-shifted cars. Audi mastered dual clutch 2006.... '06 A3. 106,000 miles puppy sold it, next owner took 150K miles.",April 2019
Lighting quick gear changes probably help contribute superior fuel economy though.,April 2019
"Anecdotal evidence that, anecdotal. even none blew up, still mean ""mastered dual clutch"". driving experience owners wanted expected, really say ""mastered"".",April 2019
"Well, think ""satisfaction"" rating A3 owners high. Also, there's lot high-mile A3's running around, must done something right. would say reviews ""mixed"" DSG, well-trained calibrated DSG worked wonders opinion. Yes, transmissions trainable,and ""learning"" computer ""brain."" important note work like manual, like automatic. personally like mechanical feel, whereas people call ""lurch"" upon stopping.",April 2019
